"","x"
"1",-0.123810676227635
"2",-0.0572426285533735
"3",0.00301958182256934
"4",0.00413486780599322
"5",0.00338766640561439
"6",0.00529589763619516
"7",0.344215736596724
"8",0.684673752418058
"9",1.01767785180059
"10",0.59357453748533
"11",0.0445485481558853
"12",-0.527748097016646
"13",-0.602521724993886
"14",-0.428234657078618
"15",-0.198594872192126
"16",-0.0119099811696798
"17",0.0493634428023614
"18",0.0822176577202001
"19",0.0540754793943623
"20",0.0260382650551088
"21",-0.0014044397527183
"22",-0.00186215154907094
"23",-0.167241070757768
"24",-0.333186816681885
"25",-1.00471701781215
"26",-1.35026436897714
"27",-1.64072595687469
"28",-0.918349992828134
"29",-0.467530601658252
"30",-0.0629321444403001
"31",-0.164558961316868
"32",-0.0320996728705162
"33",0.0338348615472945
"34",0.0960774500899468
"35",0.0363156387455818
"36",0.0482037173222145
"37",0.0504321913870424
"38",0.0429920877431665
"39",0.00361874677057952
"40",-0.0318349268979672
"41",-0.577037906453728
"42",-1.10431227287422
"43",-1.60379070643057
"44",-1.06473014563932
"45",-0.524527091540492
"46",-0.145378984678465
"47",-0.281960843778348
"48",-0.420806790857806
"49",-0.29157104935139
"50",-0.171099449577039
"51",-0.0475408442306383
"52",-0.0341473903593542
"53",-0.0162085520568712
"54",0.000220232322055011
"55",0.000564569745703038
"56",0.000620273583720184
"57",0.00372618755917125
"58",0.027042588445735
"59",0.0468943631716892
"60",0.0567240671346975
"61",0.0253884104033882
"62",0.00136446893993271
"63",-0.0102322896212533
"64",0.0224499446756084
"65",0.0516142060553456
"66",0.000992030805923505
"67",-0.0801559274320849
"68",-0.174755303127873
"69",-0.200401520830573
"70",-0.215300523386157
"71",-0.204150801984109
"72",-0.112850421280032
"73",-0.0525934787882252
"74",-0.00521175816278626
"75",-0.0291606746600658
"76",-0.017608192753707
"77",-0.00709977848212043
"78",-0.230110472650502
"79",-0.462341553003384
"80",-0.694269587612051
"81",-0.464474955094528
"82",-0.216736804517384
"83",0.0342098164052398
"84",0.0587321945050688
"85",0.0497063843860156
"86",0.0422011990445978
"87",0.032532170234769
"88",0.0537938615451332
"89",0.0694301874302386
"90",0.0708576059681173
"91",0.0430186199580644
"92",0.0147333201568679
"93",-0.001196202770374
"94",-0.00357952577548458
"95",-0.0045093100715257
"96",-0.00658715341199502
"97",-0.00729605336954964
"98",-0.00227634237936066
"99",0.0321893776546882
"100",0.205329737562511
"101",0.372417777822331
"102",0.486819541278086
"103",0.316673281600457
"104",0.143007773129766
"105",0.009424176125354
"106",0.0362758663336666
"107",0.0687244135857804
"108",0.0618770482544805
"109",0.035062750571438
"110",0.0123933231428206
"111",0.112765141597506
"112",0.232729333726478
"113",0.301087244780416
"114",0.160993636154985
"115",-0.495062657496145
"116",-1.07104615040488
"117",-1.81885717656929
"118",-1.63527632085539
"119",-1.47779634553899
"120",-0.755072123175102
"121",-0.868853318189104
"122",-0.989927764822518
"123",-1.6146323853009
"124",-1.43810520219957
"125",-1.26687158608938
"126",-0.659332531272333
"127",-0.375248424419834
"128",-0.0843010821879103
"129",-0.0110338525191044
"130",-0.0370738743222242
"131",-1.23123480835437
"132",-2.42801462471875
"133",-3.63688784825018
"134",-2.50981537641037
"135",-1.37679894021236
"136",-0.134189588554827
"137",-0.0479707961599666
"138",0.0317866207840206
"139",0.042457486547387
"140",0.0270414375116948
"141",0.0143612302009335
"142",0.00177800818632969
"143",0.00164270900343466
"144",0.000940688065500172
"145",6.44062760256424e-05
"146",0.012420285113913
"147",0.0244143667807785
"148",0.0365104597042297
"149",0.0152607238509668
"150",-0.177897175038191
"151",-0.371353954143056
"152",-0.504747227876411
"153",-0.265592098906465
"154",-0.0183895552224626
"155",0.159906957449976
"156",0.115267331104741
"157",0.0553509230551867
"158",0.0222296608017588
"159",-0.00273280469135365
"160",-0.0240835544100881
"161",-0.0538211517372934
"162",-0.181631079795088
"163",-0.317752207663681
"164",-1.10869076619384
"165",-1.73628194477374
"166",-2.3284614817992
"167",-1.57735348012983
"168",-0.799268184473759
"169",-0.0415987110543459
"170",0.0376907070850401
"171",0.0567691491999508
"172",0.0700191869051249
"173",0.091986260572775
"174",0.166276140713236
"175",0.266679791728743
"176",0.351601609895761
"177",0.27983013252746
"178",0.156652840342389
"179",0.0414093156880172
"180",0.0105509504432324
"181",-0.0500312954468917
"182",-0.111511253891353
"183",-0.158258409942291
"184",-0.0903063627013377
"185",-0.0217557853253096
"186",0.0227091867122012
"187",-0.0375261834452531
"188",-0.18037081017531
"189",-0.322578508055041
"190",-0.379507430789999
"191",-0.301160762771377
"192",-0.188495410063116
"193",-0.102359440641065
"194",-0.0393052419296595
"195",-0.0133257165596516
"196",0.00358305117114076
"197",-0.00884099919521565
"198",0.00688539522524915
"199",0.0253697010807928
"200",0.0431482850794596
"201",0.0484492032642374
"202",0.0444197183989769
"203",0.0619853879834505
"204",0.0761338034694718
"205",0.0930527175681001
"206",0.0720064791213977
"207",-0.0450420429498107
"208",-0.148610363069347
"209",-0.233964547197503
"210",-0.133449245420407
"211",-0.0819425705397248
"212",-0.0777319256331611
"213",-0.191791487125206
"214",-0.31397943197165
"215",-0.349678412909252
"216",-1.2618954644529
"217",0.117566705025606
